date,day_of_week,is_holiday,is_week_end,is_work
2014/4/2,3,0,1,1
2014/4/3,4,0,1,1
2014/4/4,5,0,1,1
2014/4/5,6,1,0,0
2014/4/6,7,0,0,0
2014/4/7,1,0,1,0
2014/4/8,2,0,1,1
2014/4/9,3,0,1,1
2014/4/10,4,0,1,1
2014/4/11,5,0,1,1
2014/4/12,6,0,0,0
2014/4/13,7,0,0,0
2014/4/14,1,0,1,1
2014/4/15,2,0,1,1
2014/4/16,3,0,1,1
2014/4/17,4,0,1,1
2014/4/18,5,0,1,1
2014/4/19,6,0,0,0
2014/4/20,7,0,0,0
2014/4/21,1,0,1,1
2014/4/22,2,0,1,1
2014/4/23,3,0,1,1
2014/4/24,4,0,1,1
2014/4/25,5,0,1,1
2014/4/26,6,0,0,0
2014/4/27,7,0,0,0
2014/4/28,1,0,1,1
2014/4/29,2,0,1,1
2014/4/30,3,0,1,1
2014/5/1,4,1,1,0
2014/5/2,5,1,1,0
2014/5/3,6,1,0,0
2014/5/4,7,0,0,1
2014/5/5,1,0,1,1
2014/5/6,2,0,1,1
2014/5/7,3,0,1,1
2014/5/8,4,0,1,1
2014/5/9,5,0,1,1
2014/5/10,6,0,0,0
2014/5/11,7,0,0,0
2014/5/12,1,0,1,1
2014/5/13,2,0,1,1
2014/5/14,3,0,1,1
2014/5/15,4,0,1,1
2014/5/16,5,0,1,1
2014/5/17,6,0,0,0
2014/5/18,7,0,0,0
2014/5/19,1,0,1,1
2014/5/20,2,0,1,1
2014/5/21,3,0,1,1
2014/5/22,4,0,1,1
2014/5/23,5,0,1,1
2014/5/24,6,0,0,0
2014/5/25,7,0,0,0
2014/5/26,1,0,1,1
2014/5/27,2,0,1,1
2014/5/28,3,0,1,1
2014/5/29,4,0,1,1
2014/5/30,5,0,1,1
2014/5/31,6,0,0,0
2014/6/1,7,0,0,0
2014/6/2,1,1,1,0
2014/6/3,2,0,1,1
2014/6/4,3,0,1,1
2014/6/5,4,0,1,1
